ProjectAccession,File, ExclusionReason
PXD026674,2019-12-01-140min-200nl-yj-Yan-Xue-Steve-Jacobsen-C0l0-1-floral-A.mzid.gz,No MS:1002511 CV param found
PXD026829,BphP_dimer_DSP_ionexclusion.mzid.gz,BphP_dimer_DSP_ionexclusion.mzid:11303: Schemas validity error : Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'name' is required but missing. | BphP_dimer_DSP_ionexclusion.mzid fails to validate | File BphP_dimer_DSP_ionexclusion.mzid is schema invalid.
PXD027149,09_Cp1.mzid.gz,No MS:1002511 CV param found
PXD027655,F271205.mzid,No MS:1002511 CV param found
PXD028039,Chymo_Xi1.7.4.mzid,File Chymo_Xi1.7.4.mzid is schema valid. | Error parsing Chymo_Xi1.7.4.mzid | Missing peak list file: 3324_AJ_Tetramer-Chymo.mgf
PXD028685,20201231_012_ZR_Smirnova_H7.mzid.gz,No MS:1002511 CV param found
PXD028919,20200125_bck8417_20-2034_Troyanovsky_02__F026012_.mzid.gz,No MS:1002511 CV param found
PXD029252,20210203_QExHFX3_RSLC10_DSSO_mainlib_rep1_KK_1FDR_linkandCSM_Xi1.7.6.5.mzid,File 20210203_QExHFX3_RSLC10_DSSO_mainlib_rep1_KK_1FDR_linkandCSM_Xi1.7.6.5.mzid is schema valid. | Error parsing 20210203_QExHFX3_RSLC10_DSSO_mainlib_rep1_KK_1FDR_linkandCSM_Xi1.7.6.5.mzid | Missing peak list file: 20210203_QExHFX3_RSLC10_DSSO_mainlib_rep1.mgf
PXD029749,211021L-BY116_518_CF-trypsin_13-iso-2OH.mzid.gz,No MS:1002511 CV param found
PXD029833,export_Mzidentml_F002452.mzid.gz,No MS:1002511 CV param found
PXD030048,export_Mzidentml_F002160.mzid.gz,No MS:1002511 CV param found
PXD031159,20200112_MBPZ_E24B3_E25Q_AFFI_4A7K8Q.mzid.gz,No MS:1002511 CV param found
PXD031166,001_EL-X-007_F20__F066054_.mzid.gz,No MS:1002511 CV param found
PXD031261,Mudpit_3_1__3_1.mzid.gz,No MS:1002511 CV param found
